Point, Degrees N, Degrees E, Easterly, Northerly
P_1, 51.715850, 3.053939, 503726.3, 5729436.4
P_2, 51.755290, 3.065988, 504554.7, 5733823.5
P_3, 51.757750, 3.084365, 505822.9, 5734098.7
P_4, 51.768550, 3.099732, 506881.9, 5735300.8
P_11, 51.799590, 3.064726, 504463.3, 5738750.6
P_12, 51.762930, 3.053490, 503691.5, 5734672.8
P_13, 51.761170, 3.039591, 502732.4, 5734476.1
P_14, 51.760410, 3.036854, 502543.5, 5734391.2
P_15, 51.759380, 3.034976, 502414.0, 5734276.6
P_16, 51.731280, 3.001223, 500084.5, 5731151.3
P_17, 51.764760, 3.068779, 504746.4, 5734877.4
P_18, 51.789330, 3.076306, 505263.0, 5737609.9
P_19, 51.775990, 3.091341, 506301.9, 5736128.1
P_20, 51.765820, 3.076865, 505304.3, 5734995.0
P_21, 51.727360, 3.014521, 501002.9, 5730715.5
P_22, 51.752700, 3.044923, 503101.0, 5733534.1
P_23, 51.753460, 3.050585, 503491.7, 5733618.6
P_24, 51.719910, 3.040394, 502790.4, 5729887.6
