Wind speed	power	thrust coefficient
4.0	280200.0	0.923
5.0	799100.0	0.919
6.0	1532700.0	0.904
7.0	2506100.0	0.858
8.0	3730700.0	0.814
9.0	5311800.0	0.814
10.0	7286500.0	0.814
11.0	9698300.0	0.814
12.0	10639100.0	0.577
13.0	10648500.0	0.419
14.0	10639300.0	0.323
15.0	10683700.0	0.259
16.0	10642000.0	0.211
17.0	10640000.0	0.175
18.0	10639900.0	0.148
19.0	10652800.0	0.126
20.0	10646200.0	0.109
21.0	10644000.0	0.095
22.0	10641200.0	0.084
23.0	10639500.0	0.074
24.0	10643600.0	0.066
25.0	10635700.0	0.059
